ID	old_ID	box	species	source	host	loc	long	lat	sequence_tag	collector	note
47	N21IFS2J	1	Salmonella enterica	sewage	pig	Shanghai	121.47	31.23	2	C	
48	YJ2FZVC3	1	Enterobacter cloacae	faeces	chicken	Changsha	112.47	31.23	3	F	
49	6KYD8MJ9	1	Aeromonas enteropelogenes	sewage	env	Xian	108.95	34.26	0	D	
50	5V0XSKWZ	1	Shigella flexneri	sputum	pig	Changsha	112.47	31.23	2	A	
51	RW9IBD1I	1	Klebsiella pneumoniae	faeces	chicken	Xian	108.95	34.26	2	E	
52	MO092GOX	1	Acinetobacter baumannii	blood	duck	Changsha	112.47	31.23	3	B	
53	IYG36AKQ	1	Salmonella enterica	env	chicken	Shanghai	121.47	31.23	2	F	
54	K0DOPILM	1	Klebsiella pneumoniae	sputum	human	Beijing	116.41	39.90	0	E	
55	AEY62E7D	1	Enterobacter cloacae	faeces	duck	Wuhan	114.30	30.58	0	D	
56	JP1QQ1KZ	1	Aeromonas hydrophila	faeces	human	Wuhan	114.30	30.58	2	E	
57	8S78QN4L	1	Salmonella enterica	sputum	human	Xian	108.95	34.26	0	A	
58	BIL64RKN	1	Escherichia coli	sewage	duck	Wuhan	114.30	30.58	2	F	
59	11GAGFI4	1	Enterobacter cloacae	blood	pig	Wuhan	114.30	30.58	2	A	
60	B532ACJ1	1	Aeromonas hydrophila	sewage	env	Xian	108.95	34.26	0	A	
61	CSE2UCMQ	1	Escherichia coli	sewage	pig	Changsha	112.47	31.23	0	B	
62	U7ZNIKYQ	1	Aeromonas caviae	faeces	human	Shanghai	121.47	31.23	2	E	
63	GNNEWF9U	1	Escherichia coli	env	pig	Shanghai	121.47	31.23	3	A	
64	MHDN9XTY	1	Escherichia coli	faeces	duck	Beijing	116.41	39.90	2	B	
65	USOMSPZ7	1	Escherichia coli	faeces	chicken	Wuhan	114.30	30.58	0	A	
66	5G94QXQ3	1	Aeromonas enteropelogenes	faeces	chicken	Shanghai	121.47	31.23	2	B	
67	MO793GWS	1	Acinetobacter baumannii	sewage	pig	Xian	108.95	34.26	0	D	
68	82SBUWN2	1	Salmonella enterica	sewage	duck	Guangzhou	113.28	23.125	0	B	
69	B0YIV7Q4	1	Aeromonas hydrophila	env	pig	Beijing	116.41	39.90	0	C	
70	10DVM8HH	1	Shigella flexneri	sputum	pig	Changsha	112.47	31.23	0	E	
71	3WWF13T4	1	Salmonella enterica	blood	human	Xian	108.95	34.26	3	E	
72	GHBR1KWE	1	Enterobacter cloacae	faeces	env	Xian	108.95	34.26	0	F	
73	UJ8SVQLB	1	Enterobacter cloacae	sputum	pig	Changsha	112.47	31.23	2	A	
74	M15NWNL9	1	Klebsiella pneumoniae	blood	pig	Wuhan	114.30	30.58	2	A	
75	1LNUCNUF	1	Shigella flexneri	sewage	pig	Xian	108.95	34.26	0	F	
76	RW4PNWIK	1	Enterobacter cloacae	sputum	env	Xian	108.95	34.26	2	F	
77	KFQC7DW1	1	Aeromonas caviae	sewage	human	Shanghai	121.47	31.23	2	E	
78	377P51UB	1	Escherichia coli	sputum	duck	Shanghai	121.47	31.23	2	F	
79	A1Z6ZQMQ	1	Klebsiella pneumoniae	blood	pig	Beijing	116.41	39.90	0	C	
80	WH81U5FD	1	Enterobacter cloacae	blood	duck	Changsha	112.47	31.23	2	C	
81	8ZBES52Y	2	Aeromonas caviae	env	duck	Beijing	116.41	39.90	0	F	
82	Q038MTKY	2	Salmonella enterica	env	human	Guangzhou	113.28	23.125	2	E	
83	ANZWTKQE	2	Shigella flexneri	blood	duck	Changsha	112.47	31.23	0	C	blabla
84	HZMGMEV9	2	Shigella flexneri	sputum	duck	Guangzhou	113.28	23.125	0	A	
85	X8ZBNSAH	2	Klebsiella pneumoniae	env	duck	Shanghai	121.47	31.23	0	D	
86	L6Y0XOLK	2	Escherichia coli	sewage	duck	Changsha	112.47	31.23	3	F	
87	PAH4ILLM	2	Shigella flexneri	faeces	pig	Wuhan	114.30	30.58	0	A	
88	BMZAU7EY	2	Klebsiella pneumoniae	faeces	human	Wuhan	114.30	30.58	2	A	
89	JEK1O77A	2	Salmonella enterica	faeces	chicken	Beijing	116.41	39.90	0	C	
90	VSSKP286	2	Klebsiella pneumoniae	blood	chicken	Xian	108.95	34.26	2	A	
91	X29Z1HOI	2	Salmonella enterica	sputum	env	Changsha	112.47	31.23	2	E	
92	3BA3952Z	2	Aeromonas veronii	blood	human	Shanghai	121.47	31.23	0	C	
93	WLXYB016	2	Enterobacter cloacae	env	env	Shanghai	121.47	31.23	2	E	
94	K089CLP3	2	Enterobacter cloacae	env	human	Guangzhou	113.28	23.125	2	E	
95	CT2SNDZQ	2	Aeromonas caviae	blood	duck	Beijing	116.41	39.90	0	E	
96	LVA9LETU	2	Klebsiella pneumoniae	env	env	Guangzhou	113.28	23.125	0	D	
97	9ITQI5U9	2	Enterobacter cloacae	faeces	pig	Shanghai	121.47	31.23	2	E	
98	XJ5BGQFW	2	Enterobacter cloacae	sewage	pig	Beijing	116.41	39.90	0	F	
99	GNSLHVGD	2	Escherichia coli	sputum	env	Shanghai	121.47	31.23	2	B	
100	N7WWWDNM	2	Klebsiella pneumoniae	blood	human	Changsha	112.47	31.23	2	C	
101	IQR0Q6B5	2	Salmonella enterica	sewage	human	Changsha	112.47	31.23	0	B	
102	6UQBUXRE	2	Acinetobacter baumannii	blood	chicken	Shanghai	121.47	31.23	0	C	blabla
103	6A48NAID	2	Aeromonas enteropelogenes	env	env	Changsha	112.47	31.23	2	C	
104	GT3383KS	2	Aeromonas enteropelogenes	faeces	chicken	Guangzhou	113.28	23.125	0	F	
105	J04UT6EP	2	Salmonella enterica	sputum	pig	Wuhan	114.30	30.58	2	E	
106	JNFD6EK7	2	Aeromonas hydrophila	env	pig	Beijing	116.41	39.90	2	A	
107	Y0DDYYHA	2	Aeromonas enteropelogenes	env	env	Beijing	116.41	39.90	0	F	
108	6YP5I8N6	2	Aeromonas caviae	blood	human	Wuhan	114.30	30.58	2	C	
109	ENE2JNLT	2	Aeromonas caviae	sewage	env	Xian	108.95	34.26	0	B	
110	N53VY9E2	2	Aeromonas veronii	sewage	env	Xian	108.95	34.26	2	D	
111	YOAMD9DL	2	Shigella flexneri	env	chicken	Wuhan	114.30	30.58	3	E	blabla
112	EC0VM0CN	2	Aeromonas veronii	sewage	env	Changsha	112.47	31.23	0	F	
113	DQXG40RF	2	Aeromonas hydrophila	blood	duck	Shanghai	121.47	31.23	2	F	
114	YA2J59U9	2	Enterobacter cloacae	sewage	pig	Guangzhou	113.28	23.125	0	B	
115	LQ30O89Z	2	Acinetobacter baumannii	blood	duck	Shanghai	121.47	31.23	0	E	
116	BHS05S34	2	Aeromonas hydrophila	sputum	duck	Beijing	116.41	39.90	2	E	
117	PWB6S6SL	2	Aeromonas enteropelogenes	faeces	duck	Beijing	116.41	39.90	0	B	
118	9F19K66D	2	Shigella flexneri	env	duck	Xian	108.95	34.26	0	F	
119	8YE7OSS3	2	Escherichia coli	sputum	chicken	Wuhan	114.30	30.58	2	C	
120	5J0TYHNB	2	Shigella flexneri	env	human	Changsha	112.47	31.23	0	F	
121	Y1Q5T50T	2	Shigella flexneri	env	duck	Changsha	112.47	31.23	0	F	
122	DMRYNBSM	2	Aeromonas enteropelogenes	blood	duck	Wuhan	114.30	30.58	2	F	
123	ZX5JPB0F	2	Enterobacter cloacae	sputum	env	Beijing	116.41	39.90	2	D	
124	TF9XVQXY	2	Aeromonas enteropelogenes	env	env	Wuhan	114.30	30.58	2	D	blabla
125	8LB4FZTV	2	Acinetobacter baumannii	sewage	env	Xian	108.95	34.26	0	B	
126	2SNL2EZC	2	Escherichia coli	sputum	human	Xian	108.95	34.26	2	F	
127	TZLIR6M3	2	Enterobacter cloacae	faeces	human	Wuhan	114.30	30.58	2	E	
128	MYZ6BJJA	2	Klebsiella pneumoniae	sputum	env	Shanghai	121.47	31.23	0	A	
129	TIH6Z1OA	2	Enterobacter cloacae	blood	pig	Xian	108.95	34.26	0	A	
130	3O1NV7P6	2	Klebsiella pneumoniae	sputum	env	Guangzhou	113.28	23.125	2	D	
131	L6YF43KY	2	Aeromonas veronii	sewage	duck	Xian	108.95	34.26	2	B	
132	Y4YR93XG	2	Acinetobacter baumannii	sputum	human	Beijing	116.41	39.90	0	D	
133	9HOZ0QK9	2	Aeromonas veronii	sewage	env	Changsha	112.47	31.23	0	F	
134	FN767XLM	2	Aeromonas hydrophila	sputum	chicken	Guangzhou	113.28	23.125	2	F	
135	VPRSOMR0	2	Aeromonas caviae	sputum	chicken	Beijing	116.41	39.90	2	A	
136	YG7YWSQ0	2	Acinetobacter baumannii	blood	env	Xian	108.95	34.26	0	E	blabla
137	7C0UVYNN	2	Shigella flexneri	sputum	human	Xian	108.95	34.26	0	D	
138	C3YQCXON	2	Salmonella enterica	env	human	Changsha	112.47	31.23	0	F	
139	42HXFECD	2	Aeromonas hydrophila	faeces	env	Xian	108.95	34.26	2	B	
140	IBSDBNLK	2	Klebsiella pneumoniae	sputum	chicken	Xian	108.95	34.26	0	F	
141	Z6GLYLCJ	2	Klebsiella pneumoniae	env	duck	Xian	108.95	34.26	2	D	
142	SD7KOHGW	2	Salmonella enterica	sputum	chicken	Xian	108.95	34.26	0	F	
143	YDOD6MMB	2	Aeromonas hydrophila	env	pig	Changsha	112.47	31.23	2	A	
144	XVQK0ULH	2	Acinetobacter baumannii	sewage	env	Xian	108.95	34.26	0	B	
145	GHCTBQ7Q	2	Escherichia coli	sputum	env	Xian	108.95	34.26	0	A	
146	APHPWXNK	2	Aeromonas enteropelogenes	blood	duck	Beijing	116.41	39.90	2	B	
147	S8450C83	2	Enterobacter cloacae	blood	duck	Changsha	112.47	31.23	3	D	
148	7VJMGU6A	2	Aeromonas caviae	env	duck	Wuhan	114.30	30.58	2	E	
149	L7ONH0ML	2	Salmonella enterica	sewage	chicken	Xian	108.95	34.26	0	C	
150	TJ79VBGL	2	Aeromonas caviae	faeces	pig	Shanghai	121.47	31.23	0	B	
151	I4WWR5OF	2	Salmonella enterica	blood	chicken	Beijing	116.41	39.90	0	A	
152	1L9FIX7T	2	Aeromonas veronii	faeces	env	Guangzhou	113.28	23.125	0	B	
153	1M3E3TJF	2	Aeromonas veronii	env	duck	Guangzhou	113.28	23.125	0	D	
154	5NHCYOP4	2	Aeromonas hydrophila	sewage	pig	Guangzhou	113.28	23.125	0	D	
155	Q55KYTMZ	2	Aeromonas enteropelogenes	sewage	duck	Wuhan	114.30	30.58	0	E	
156	9DM3NKDR	2	Aeromonas hydrophila	sewage	duck	Beijing	116.41	39.90	0	A	
157	ITFPSSPU	2	Aeromonas enteropelogenes	sewage	env	Xian	108.95	34.26	2	B	
158	I6WI6614	2	Shigella flexneri	sewage	pig	Beijing	116.41	39.90	0	B	
159	527GO5FE	2	Klebsiella pneumoniae	env	human	Changsha	112.47	31.23	0	D	
160	AYT05NZN	2	Escherichia coli	env	env	Shanghai	121.47	31.23	0	F	
161	BIRV0B0P	2	Aeromonas caviae	sputum	chicken	Shanghai	121.47	31.23	0	A	
162	5RQR262X	3	Aeromonas enteropelogenes	blood	duck	Shanghai	121.47	31.23	2	C	
163	UWW8SU62	3	Aeromonas caviae	sputum	human	Shanghai	121.47	31.23	0	D	
164	1VRU93BQ	3	Acinetobacter baumannii	env	human	Beijing	116.41	39.90	0	D	
165	CKEIXPJS	3	Acinetobacter baumannii	faeces	env	Shanghai	121.47	31.23	0	F	
166	RA4TXQBA	3	Acinetobacter baumannii	sewage	env	Wuhan	114.30	30.58	0	E	
167	KO3DZR9F	3	Aeromonas veronii	sputum	env	Wuhan	114.30	30.58	2	A	
168	BL7F8T8R	3	Aeromonas hydrophila	faeces	chicken	Changsha	112.47	31.23	0	B	
169	CXV08KBF	3	Acinetobacter baumannii	faeces	duck	Shanghai	121.47	31.23	2	C	blabla
170	ZKQ8PNCJ	3	Aeromonas enteropelogenes	sewage	duck	Wuhan	114.30	30.58	2	D	
171	N9DOZXX2	3	Klebsiella pneumoniae	blood	duck	Wuhan	114.30	30.58	2	B	
172	CWXZ5HBB	3	Acinetobacter baumannii	faeces	chicken	Xian	108.95	34.26	0	B	
173	43V7N6TI	3	Aeromonas enteropelogenes	blood	human	Shanghai	121.47	31.23	2	A	
174	7GBO4NE2	3	Aeromonas veronii	env	pig	Changsha	112.47	31.23	2	A	
175	JW63RWAY	3	Aeromonas hydrophila	sewage	env	Shanghai	121.47	31.23	0	C	
176	RW6H8JY3	3	Aeromonas enteropelogenes	faeces	chicken	Shanghai	121.47	31.23	0	A	
177	QP9RMB8W	3	Enterobacter cloacae	sputum	pig	Wuhan	114.30	30.58	2	D	
178	52JBDSZK	3	Salmonella enterica	sputum	human	Wuhan	114.30	30.58	2	F	
179	0TD1M2TJ	3	Enterobacter cloacae	faeces	env	Guangzhou	113.28	23.125	0	A	
180	ZGWD3W4M	3	Aeromonas veronii	sewage	chicken	Guangzhou	113.28	23.125	2	E	
181	YRDMQY8N	3	Aeromonas veronii	blood	env	Beijing	116.41	39.90	2	B	blabla
182	6XCOGTI1	3	Acinetobacter baumannii	faeces	chicken	Shanghai	121.47	31.23	2	E	
183	7670RIO5	3	Aeromonas enteropelogenes	blood	pig	Shanghai	121.47	31.23	0	D	
184	HJJ4ZGVM	3	Aeromonas veronii	sputum	chicken	Changsha	112.47	31.23	2	E	
185	B5QJ5LMZ	3	Enterobacter cloacae	env	env	Shanghai	121.47	31.23	0	A	
186	DMIA4030	3	Aeromonas veronii	faeces	pig	Guangzhou	113.28	23.125	0	C	
187	E1MGHZHZ	3	Aeromonas enteropelogenes	sewage	env	Wuhan	114.30	30.58	0	B	
188	3295DNTP	3	Aeromonas enteropelogenes	env	duck	Wuhan	114.30	30.58	3	F	
189	CMZD0L55	3	Aeromonas enteropelogenes	blood	env	Changsha	112.47	31.23	3	B	
190	4S0MCQBM	3	Escherichia coli	sewage	human	Shanghai	121.47	31.23	2	F	
191	FAARJ2C3	3	Klebsiella pneumoniae	faeces	env	Guangzhou	113.28	23.125	2	B	
192	99S311X0	3	Aeromonas hydrophila	sewage	pig	Guangzhou	113.28	23.125	2	D	
193	P96C48HR	3	Escherichia coli	sewage	duck	Xian	108.95	34.26	2	C	
194	A2IYDUZT	3	Klebsiella pneumoniae	blood	pig	Guangzhou	113.28	23.125	2	A	
195	3I5TPB69	3	Aeromonas veronii	sewage	pig	Beijing	116.41	39.90	0	A	
196	5K9W381Q	3	Shigella flexneri	env	duck	Beijing	116.41	39.90	0	D	
197	B99LAPLP	3	Enterobacter cloacae	sputum	duck	Shanghai	121.47	31.23	2	C	
198	M002GHG0	3	Aeromonas veronii	env	duck	Wuhan	114.30	30.58	0	E	
199	L5BZQ19X	3	Aeromonas hydrophila	sputum	chicken	Guangzhou	113.28	23.125	2	A	
200	VUABHPPK	3	Escherichia coli	blood	chicken	Guangzhou	113.28	23.125	0	E	blabla
201	XUBZJ6OQ	3	Enterobacter cloacae	faeces	human	Guangzhou	113.28	23.125	0	E	
202	K06KMUV0	3	Enterobacter cloacae	faeces	pig	Guangzhou	113.28	23.125	2	F	
203	7LHKSF9N	3	Acinetobacter baumannii	env	pig	Wuhan	114.30	30.58	0	B	
204	ZUAY064E	3	Aeromonas caviae	faeces	pig	Beijing	116.41	39.90	0	F	
205	I6AFOTRN	3	Aeromonas caviae	sputum	chicken	Changsha	112.47	31.23	0	A	
206	NRJ0RWJ6	3	Aeromonas hydrophila	faeces	env	Xian	108.95	34.26	0	E	
207	B0F1K1O6	3	Enterobacter cloacae	faeces	chicken	Wuhan	114.30	30.58	0	A	
208	1ZN968K0	3	Shigella flexneri	blood	duck	Xian	108.95	34.26	0	D	
209	OTW6SC48	3	Salmonella enterica	faeces	pig	Shanghai	121.47	31.23	0	B	
210	UKQ1YK2R	3	Enterobacter cloacae	sputum	chicken	Changsha	112.47	31.23	3	F	
211	WMX2F7J9	3	Enterobacter cloacae	blood	human	Beijing	116.41	39.90	2	B	
212	9SLYA6A6	3	Aeromonas veronii	env	chicken	Xian	108.95	34.26	0	B	
213	NZKP0OCB	3	Klebsiella pneumoniae	faeces	human	Changsha	112.47	31.23	2	C	
214	NTD9FBSQ	3	Aeromonas veronii	sewage	pig	Wuhan	114.30	30.58	0	E	
215	QR3PIG7B	3	Klebsiella pneumoniae	sputum	human	Guangzhou	113.28	23.125	2	F	
216	3QLZ8RCI	3	Aeromonas veronii	faeces	env	Beijing	116.41	39.90	0	C	
217	UQU3KO42	3	Shigella flexneri	faeces	chicken	Guangzhou	113.28	23.125	0	F	blabla
218	768PYGSY	3	Aeromonas veronii	faeces	env	Shanghai	121.47	31.23	2	A	blabla
219	9GR5X22E	3	Salmonella enterica	blood	duck	Beijing	116.41	39.90	0	E	
220	Z7BS7VTV	3	Shigella flexneri	env	duck	Wuhan	114.30	30.58	0	C	
221	KG53FOGO	3	Aeromonas hydrophila	sewage	duck	Xian	108.95	34.26	0	C	
222	CEWSA8TI	3	Aeromonas caviae	sputum	chicken	Guangzhou	113.28	23.125	0	A	
223	JL7DCOMB	3	Acinetobacter baumannii	blood	pig	Changsha	112.47	31.23	0	A	blabla
224	I24SJ2D7	3	Aeromonas caviae	faeces	human	Xian	108.95	34.26	2	F	
225	QLRO5MPU	3	Salmonella enterica	faeces	pig	Wuhan	114.30	30.58	0	D	
226	MDEWTM91	3	Salmonella enterica	faeces	env	Changsha	112.47	31.23	3	C	blabla
227	I11CQZLM	3	Aeromonas veronii	blood	pig	Wuhan	114.30	30.58	0	A	
228	XC410TMP	3	Salmonella enterica	blood	duck	Guangzhou	113.28	23.125	2	A	blabla
229	KSSO7XQI	3	Escherichia coli	env	human	Changsha	112.47	31.23	0	F	
230	8KU27AAX	3	Salmonella enterica	faeces	chicken	Wuhan	114.30	30.58	0	C	blabla
231	H7P3E7WF	3	Aeromonas caviae	sputum	pig	Changsha	112.47	31.23	0	C	
232	H8ZRSPRZ	3	Aeromonas hydrophila	env	chicken	Changsha	112.47	31.23	0	D	
233	1MYQRJQY	3	Aeromonas caviae	blood	human	Xian	108.95	34.26	2	E	
234	9L83FORJ	3	Aeromonas hydrophila	env	pig	Beijing	116.41	39.90	2	E	
235	0U88QIVL	3	Enterobacter cloacae	sputum	chicken	Xian	108.95	34.26	2	E	
236	5UTCU0B8	3	Shigella flexneri	sputum	chicken	Beijing	116.41	39.90	0	F	
237	I6KR87TT	3	Salmonella enterica	sewage	duck	Wuhan	114.30	30.58	3	D	
238	7GHZ9393	3	Escherichia coli	faeces	pig	Guangzhou	113.28	23.125	2	B	
239	9MSQECTR	3	Escherichia coli	faeces	env	Xian	108.95	34.26	2	D	blabla
240	H930YB8H	3	Shigella flexneri	sewage	chicken	Wuhan	114.30	30.58	0	D	
241	WZJ4PW63	3	Aeromonas veronii	faeces	human	Guangzhou	113.28	23.125	0	C	
242	LIGNEPJ6	3	Salmonella enterica	faeces	env	Xian	108.95	34.26	2	D	
243	LKS99YXY	4	Aeromonas caviae	faeces	human	Changsha	112.47	31.23	2	D	
244	RFIKOSEE	4	Salmonella enterica	sewage	pig	Shanghai	121.47	31.23	0	A	
245	YUI9WB8T	4	Aeromonas caviae	env	duck	Guangzhou	113.28	23.125	0	A	
246	4H8IOP5K	4	Aeromonas enteropelogenes	env	human	Wuhan	114.30	30.58	0	F	blabla
247	GG5I1H9M	4	Aeromonas veronii	blood	env	Wuhan	114.30	30.58	2	C	blabla
248	8OLRWHKA	4	Shigella flexneri	blood	duck	Wuhan	114.30	30.58	0	E	
249	LJIHKG43	4	Klebsiella pneumoniae	env	chicken	Xian	108.95	34.26	0	F	
250	XHG41SRN	4	Klebsiella pneumoniae	blood	duck	Beijing	116.41	39.90	0	D	
251	FJZ34Q6W	4	Klebsiella pneumoniae	sewage	chicken	Xian	108.95	34.26	0	D	
252	FB7N9ZWO	4	Aeromonas veronii	sewage	env	Beijing	116.41	39.90	2	F	
253	1II818DX	4	Aeromonas veronii	sputum	pig	Xian	108.95	34.26	2	C	
254	PZQFXEIR	4	Aeromonas caviae	env	chicken	Wuhan	114.30	30.58	0	E	
255	U3UVXHIW	4	Acinetobacter baumannii	sewage	chicken	Guangzhou	113.28	23.125	2	B	
256	B03B13BL	4	Klebsiella pneumoniae	env	duck	Wuhan	114.30	30.58	0	C	
257	AGXK38X7	4	Aeromonas caviae	faeces	duck	Shanghai	121.47	31.23	2	E	
258	ZLSB515S	4	Aeromonas caviae	sputum	human	Beijing	116.41	39.90	2	C	
259	XNCKRSGL	4	Klebsiella pneumoniae	sewage	pig	Xian	108.95	34.26	2	C	
260	VXEL9GLB	4	Aeromonas veronii	env	chicken	Shanghai	121.47	31.23	0	E	
261	0S7SOJRX	4	Shigella flexneri	blood	duck	Beijing	116.41	39.90	0	B	
262	8PIT21PC	4	Enterobacter cloacae	sewage	chicken	Shanghai	121.47	31.23	2	A	
263	P1Z6UNDG	4	Aeromonas veronii	blood	env	Changsha	112.47	31.23	0	B	
264	TRIU7EM4	4	Salmonella enterica	faeces	env	Beijing	116.41	39.90	2	E	
265	RIVKH9WO	4	Enterobacter cloacae	sewage	env	Changsha	112.47	31.23	0	F	
266	UPWKS8JS	4	Klebsiella pneumoniae	env	duck	Beijing	116.41	39.90	0	C	
267	6EENPZMD	4	Shigella flexneri	blood	human	Changsha	112.47	31.23	0	D	
268	DI435C40	4	Acinetobacter baumannii	blood	human	Xian	108.95	34.26	2	B	
269	0XTQIMMY	4	Aeromonas enteropelogenes	faeces	env	Guangzhou	113.28	23.125	0	D	
270	ENIJLGVV	4	Aeromonas caviae	sewage	duck	Changsha	112.47	31.23	2	E	
271	PSB4SUZ0	4	Klebsiella pneumoniae	blood	pig	Guangzhou	113.28	23.125	2	B	
272	UZV1V5Q6	4	Aeromonas enteropelogenes	sewage	env	Wuhan	114.30	30.58	2	D	
273	HTIJNCDO	4	Shigella flexneri	sewage	chicken	Beijing	116.41	39.90	0	F	
274	UFS7GBQK	4	Aeromonas veronii	faeces	human	Shanghai	121.47	31.23	0	A	
275	XA7JC4HV	4	Aeromonas caviae	blood	human	Guangzhou	113.28	23.125	0	F	blabla
276	E5IR01SG	4	Aeromonas hydrophila	blood	duck	Xian	108.95	34.26	0	D	
277	A52YXQCP	4	Acinetobacter baumannii	env	pig	Wuhan	114.30	30.58	2	E	
278	XMU1GEVK	4	Aeromonas enteropelogenes	sewage	duck	Shanghai	121.47	31.23	0	C	
279	UUQ69ND1	4	Escherichia coli	blood	human	Shanghai	121.47	31.23	2	A	
280	F6WERGAZ	4	Klebsiella pneumoniae	env	env	Guangzhou	113.28	23.125	2	F	
281	VA40QHL3	4	Enterobacter cloacae	blood	duck	Shanghai	121.47	31.23	0	C	blabla
282	SNH7K5XR	4	Aeromonas hydrophila	env	duck	Changsha	112.47	31.23	0	C	
283	TLFV9WTU	4	Klebsiella pneumoniae	env	env	Xian	108.95	34.26	2	C	
284	MDW7VM0R	4	Enterobacter cloacae	blood	duck	Beijing	116.41	39.90	2	C	
285	058U7FEK	4	Aeromonas hydrophila	faeces	duck	Xian	108.95	34.26	3	B	
286	YCAU4UE7	4	Salmonella enterica	env	chicken	Changsha	112.47	31.23	2	D	
287	7L8HTA53	4	Escherichia coli	faeces	chicken	Guangzhou	113.28	23.125	2	E	
